player_id,player_name,age,country,device_type,tier,kd_ratio,total_matches,total_wins,avg_damage
P00047,Player_FAEEV,20,India,Tablet,Crown,4.77,1705,339,549
P00048,Player_IGHNU,27,India,Tablet,Platinum,4.77,1469,413,484
P00049,Player_RJYIE,27,India,Tablet,Diamond,1.35,262,417,209
P00050,Player_QUKKX,25,India,Tablet,Diamond,5.32,218,162,832
P00051,Player_VWAZK,19,India,Mobile,Ace,3.17,1167,461,725
P00052,Player_LPDCN,29,India,Mobile,Platinum,2.42,1992,261,832
P00053,Player_KRKDD,25,India,Tablet,Crown,3.45,461,23,217
P00054,Player_JYSNB,23,India,Tablet,Conqueror,1.92,219,403,225
P00055,Player_DRYKZ,30,India,Tablet,Silver,1.61,444,397,594
P00056,Player_GLOFO,17,India,Tablet,Bronze,1.98,1675,156,562
P00057,Player_MXBSR,18,India,Mobile,Conqueror,4.29,844,146,692
P00058,Player_ZZPLL,22,India,Tablet,Conqueror,3.22,1965,18,602
P00059,Player_SFZBF,21,India,Mobile,Crown,2.8,835,477,715
P00060,Player_JKOIJ,22,India,Mobile,Ace,5.3,1058,307,383
P00061,Player_OXIAC,27,India,Mobile,Silver,2.74,517,496,799
P00062,Player_FEQUK,27,India,Tablet,Ace,4.33,1792,375,862
P00063,Player_VMKTA,30,India,Tablet,Gold,1.09,532,161,407
P00064,Player_BLLOT,23,India,Mobile,Silver,5.87,1294,132,565
P00065,Player_UBBFJ,29,India,Tablet,Platinum,1.62,110,309,668
P00066,Player_PUROH,25,India,Tablet,Silver,4.73,1958,72,867
P00067,Player_CNJFF,28,India,Mobile,Conqueror,4.75,714,219,592
P00068,Player_KRCPD,16,India,Tablet,Crown,3.49,517,209,560
P00069,Player_DWCGA,24,India,Mobile,Conqueror,2.17,1160,363,299
P00070,Player_MUSXO,20,India,Tablet,Platinum,4.87,140,51,848
P00071,Player_GCUOD,25,India,Mobile,Gold,4.76,870,412,897
P00072,Player_IHKPJ,30,India,Mobile,Silver,1.91,1589,435,322
P00073,Player_MEUZF,21,India,Tablet,Silver,2.02,321,320,502
P00074,Player_MVFTE,27,India,Mobile,Bronze,1.96,411,10,505
P00075,Player_UXZVK,25,India,Mobile,Ace,4.46,1696,153,910
P00076,Player_UGRMP,16,India,Mobile,Conqueror,4.25,1558,478,444
P00077,Player_RDLVC,21,India,Tablet,Platinum,2.56,1251,248,518
P00078,Player_QPTUK,17,India,Tablet,Platinum,1.74,1208,109,853
P00079,Player_LWTSU,26,India,Tablet,Crown,4.68,1801,18,383
P00080,Player_VJIPF,20,India,Mobile,Diamond,1.15,1344,452,518
P00081,Player_GCGEX,18,India,Mobile,Ace,3.0,1565,158,726
P00082,Player_LTOUH,30,India,Tablet,Diamond,1.74,482,459,503
P00083,Player_XIUSB,18,India,Tablet,Gold,2.48,1964,237,444
P00084,Player_GCBTB,28,India,Mobile,Bronze,3.99,103,305,767
P00085,Player_IDHKD,24,India,Tablet,Platinum,5.6,1312,249,332
P00086,Player_JCDAT,28,India,Tablet,Platinum,4.25,545,381,935
P00087,Player_CJRIB,27,India,Mobile,Ace,1.85,318,231,245
P00088,Player_XAEPS,27,India,Mobile,Diamond,5.53,1483,440,534
P00089,Player_TSNHC,22,India,Tablet,Ace,3.7,539,25,747
P00090,Player_IEDEJ,26,India,Tablet,Conqueror,1.49,1750,52,488
P00091,Player_FUACZ,29,India,Mobile,Silver,1.04,1020,233,343
P00092,Player_JTPQO,25,India,Tablet,Bronze,1.55,368,406,901
P00093,Player_FFJGM,28,India,Tablet,Conqueror,2.63,1815,271,322
P00094,Player_HNOQT,19,India,Tablet,Diamond,1.44,1993,228,366
P00095,Player_JXNRS,18,India,Tablet,Diamond,1.52,1230,463,282
P00096,Player_WGIRN,24,India,Mobile,Conqueror,4.33,1486,475,780
P00097,Player_DFYPZ,19,India,Mobile,Conqueror,3.23,1475,287,590
P00098,Player_TKYDI,22,India,Mobile,Gold,4.15,1328,365,659
P00099,Player_YQGUF,18,India,Tablet,Gold,2.44,886,141,631
P00100,Player_CICLL,16,India,Mobile,Conqueror,1.25,168,426,220
P00101,Player_GGVGM,16,India,Tablet,Conqueror,1.37,635,171,667
P00102,Player_FLHJQ,24,India,Tablet,Silver,3.85,114,116,784
P00103,Player_NPXLJ,19,India,Tablet,Bronze,3.43,344,15,594
P00104,Player_KSVUW,26,India,Mobile,Diamond,5.88,1255,432,429
P00105,Player_NOAHC,17,India,Tablet,Conqueror,3.48,608,173,867
P00106,Player_ZXCFE,30,India,Tablet,Ace,5.54,671,454,705
P00107,Player_QGXHC,21,India,Mobile,Gold,4.23,1230,310,238
P00108,Player_YKTBL,17,India,Tablet,Platinum,5.49,573,240,488
P00109,Player_MNLSE,24,India,Tablet,Conqueror,5.56,378,71,247
P00110,Player_LRFUC,25,India,Tablet,Diamond,3.67,1195,179,732
P00111,Player_WMFNE,25,India,Mobile,Diamond,2.78,424,313,823
P00112,Player_NAUKG,25,India,Tablet,Platinum,4.54,1985,497,224
P00113,Player_RVAOI,16,India,Mobile,Crown,2.44,1295,487,706
P00114,Player_JYYSP,24,India,Tablet,Diamond,4.17,532,482,997
P00115,Player_INEYZ,24,India,Tablet,Platinum,1.58,981,134,987
P00116,Player_QMETQ,29,India,Mobile,Diamond,1.35,213,115,292
P00117,Player_FIPII,24,India,Mobile,Ace,3.49,538,323,402
P00118,Player_LKTNW,19,India,Tablet,Crown,5.61,1117,398,811
P00119,Player_QVYFK,18,India,Mobile,Diamond,2.01,1803,488,720
P00120,Player_KHPLY,27,India,Mobile,Diamond,5.72,190,91,727
P00121,Player_FSXSF,24,India,Tablet,Crown,1.04,1363,251,296
P00122,Player_CEVTJ,25,India,Mobile,Platinum,1.64,1286,438,210
P00123,Player_SWUTF,28,India,Mobile,Ace,3.8,953,190,728
P00124,Player_FASLF,26,India,Tablet,Bronze,1.69,659,404,664
P00125,Player_ADCLB,18,India,Tablet,Gold,5.81,376,127,346
P00126,Player_SCDMB,19,India,Tablet,Ace,6.0,673,187,365
P00127,Player_GGWMA,30,India,Tablet,Crown,1.37,1556,414,856
P00128,Player_RBEBC,18,India,Tablet,Gold,2.24,262,473,972
P00129,Player_ELDII,17,India,Mobile,Ace,3.76,707,249,400
P00130,Player_DGBZO,18,India,Mobile,Gold,2.79,1028,324,813
P00131,Player_PFJVI,27,India,Tablet,Ace,4.31,1505,490,694
P00132,Player_QGJUX,17,India,Mobile,Silver,4.68,349,180,905
P00133,Player_MXLRC,18,India,Mobile,Crown,3.41,1596,75,283
P00134,Player_XOQCX,20,India,Mobile,Crown,5.69,734,332,427
P00135,Player_PYKTZ,25,India,Mobile,Gold,5.9,541,60,751
P00136,Player_KPCJI,18,India,Tablet,Bronze,5.87,1362,284,877
P00137,Player_SHWIT,19,India,Mobile,Platinum,2.82,678,184,472
P00138,Player_YCQCM,26,India,Tablet,Bronze,1.89,1273,425,310
P00139,Player_PKRDS,27,India,Mobile,Bronze,1.21,1683,174,488
P00140,Player_YOUIU,25,India,Mobile,Conqueror,3.05,1465,82,848
P00141,Player_JLOLN,27,India,Mobile,Bronze,4.69,1497,356,966
P00142,Player_DEKVY,27,India,Mobile,Conqueror,4.26,354,428,605
P00143,Player_TETVC,24,India,Mobile,Silver,3.79,760,123,328
P00144,Player_VOEDQ,27,India,Mobile,Conqueror,4.11,1151,65,221
P00145,Player_UMOKM,27,India,Mobile,Silver,5.45,1571,229,488
P00146,Player_STVUH,17,India,Tablet,Gold,1.32,767,149,609
P00147,Player_HPRKL,28,India,Tablet,Silver,5.35,267,385,391
P00148,Player_ZHLMC,28,India,Tablet,Gold,4.6,940,478,702
P00149,Player_WUAPY,19,India,Tablet,Conqueror,2.58,1303,320,991
P00150,Player_UBMCE,18,India,Tablet,Gold,3.01,1133,313,862
P00151,Player_NZCHL,30,India,Tablet,Crown,3.02,1168,389,883
P00152,Player_MZPVU,19,India,Mobile,Platinum,3.1,1615,175,254
P00153,Player_PDJZQ,30,India,Mobile,Silver,5.26,874,327,530
P00154,Player_VOLMG,26,India,Tablet,Crown,5.8,663,128,921
P00155,Player_ZVZUV,28,India,Tablet,Ace,3.65,1922,348,866
P00156,Player_CJXLT,27,India,Mobile,Bronze,2.41,1373,423,346
P00157,Player_GVIKM,25,India,Tablet,Diamond,5.77,466,234,266
P00158,Player_ZXILG,24,India,Tablet,Conqueror,1.46,837,256,985
P00159,Player_VEQBD,20,India,Mobile,Diamond,4.96,1180,221,657
P00160,Player_JRIEE,25,India,Mobile,Platinum,2.83,1840,163,800
P00161,Player_GQOYL,17,India,Mobile,Diamond,2.47,736,240,940
P00162,Player_EDBCV,23,India,Mobile,Gold,2.89,666,325,481
P00163,Player_GECBT,18,India,Mobile,Silver,4.85,1489,182,567
P00164,Player_ZPMQK,22,India,Mobile,Ace,5.37,764,186,382
P00165,Player_QXBBS,27,India,Mobile,Crown,3.67,1177,91,505
P00166,Player_NICJM,27,India,Mobile,Bronze,5.76,1665,83,688
P00167,Player_PDOAR,17,India,Tablet,Silver,4.41,1267,267,546
P00168,Player_GOTNC,28,India,Tablet,Bronze,2.95,1284,176,564
P00169,Player_SEPVC,23,India,Tablet,Bronze,2.55,1139,164,303
P00170,Player_INWZN,20,India,Mobile,Conqueror,5.27,238,211,856
P00171,Player_ZUHYP,20,India,Mobile,Bronze,1.38,971,441,381
P00172,Player_EPHWB,30,India,Tablet,Diamond,3.62,1360,434,551
P00173,Player_GTEFX,17,India,Tablet,Diamond,1.9,414,472,472
P00174,Player_TUQWC,28,India,Mobile,Crown,2.42,1221,259,227
P00175,Player_XTHGV,26,India,Mobile,Platinum,2.94,1602,105,694
P00176,Player_MPEVK,20,India,Mobile,Crown,5.94,151,358,598
P00177,Player_MNPQW,27,India,Tablet,Silver,1.06,1782,418,463
P00178,Player_VFCCV,24,India,Tablet,Silver,5.12,1732,163,959
P00179,Player_PSTNO,21,India,Tablet,Bronze,5.87,1908,393,683
P00180,Player_SEHHM,29,India,Mobile,Ace,5.96,382,277,304
P00181,Player_EVXPJ,20,India,Tablet,Bronze,1.2,1733,189,341
P00182,Player_ZHBZA,22,India,Tablet,Diamond,3.16,740,219,357
P00183,Player_IBSZU,20,India,Mobile,Silver,4.07,1100,164,408
P00184,Player_POLOK,16,India,Mobile,Silver,4.37,642,103,927
P00185,Player_XDWGA,27,India,Tablet,Conqueror,1.26,1598,321,675
P00186,Player_MSIXV,23,India,Mobile,Silver,2.52,737,18,368
P00187,Player_QVWNY,26,India,Tablet,Platinum,2.99,1702,241,855
P00188,Player_QHGVU,16,India,Mobile,Silver,1.45,1264,221,478
P00189,Player_UZBWW,21,India,Mobile,Gold,4.33,1604,133,965
P00190,Player_MTJDO,17,India,Tablet,Silver,1.01,1563,466,896
P00191,Player_BOZLE,16,India,Mobile,Conqueror,4.41,1737,460,958
P00192,Player_GJEGT,22,India,Tablet,Conqueror,3.19,1184,224,941
P00193,Player_LNXIB,17,India,Tablet,Gold,4.69,996,195,567
P00194,Player_SXAYZ,20,India,Mobile,Crown,2.71,1703,332,795
P00195,Player_THTPF,22,India,Tablet,Diamond,1.99,1993,147,997
P00196,Player_WXWRY,21,India,Mobile,Platinum,1.94,404,279,265
P00197,Player_TUSPB,20,India,Tablet,Conqueror,5.36,694,118,698
P00198,Player_EAWHG,22,India,Mobile,Conqueror,2.83,1301,167,642
P00199,Player_OBMLJ,28,India,Tablet,Conqueror,4.7,329,388,771
P00200,Player_VHKBV,17,India,Tablet,Crown,2.67,1574,247,328
P00201,Player_DRUZT,24,India,Tablet,Ace,5.27,218,456,369
P00202,Player_OLNYN,30,India,Tablet,Bronze,3.73,1241,132,765
P00203,Player_KLDOC,26,India,Tablet,Platinum,3.52,1227,275,956
P00204,Player_LQIYB,26,India,Mobile,Conqueror,1.33,562,24,691
P00205,Player_ONSES,30,India,Mobile,Silver,4.38,1470,300,285
P00206,Player_QOQNW,19,India,Mobile,Diamond,2.79,1573,303,528
P00207,Player_ZVHZX,26,India,Tablet,Crown,4.2,1527,322,781
P00208,Player_RATZX,16,India,Mobile,Platinum,3.71,463,66,234
P00209,Player_YBRKT,19,India,Mobile,Gold,4.92,1993,20,900
P00210,Player_XEICT,24,India,Tablet,Diamond,4.5,537,150,777
P00211,Player_ERNHT,19,India,Mobile,Gold,2.74,108,441,376
P00212,Player_PQCZM,19,India,Tablet,Gold,4.75,217,268,430
P00213,Player_UJUQA,24,India,Tablet,Crown,3.33,400,175,254
P00214,Player_XEAGS,26,India,Tablet,Diamond,1.86,744,24,894
P00215,Player_IWVMM,16,India,Mobile,Silver,1.78,1372,392,452
P00216,Player_RXPRZ,27,India,Mobile,Silver,3.33,1595,74,493
P00217,Player_UFRPZ,26,India,Mobile,Silver,2.3,395,493,574
P00218,Player_ROSFI,18,India,Mobile,Silver,4.73,553,496,569
P00219,Player_MKUKP,29,India,Tablet,Platinum,4.59,907,476,307
P00220,Player_HZIZX,18,India,Tablet,Diamond,1.71,1289,407,389
P00221,Player_VDOKA,24,India,Mobile,Conqueror,3.34,1906,38,718
P00222,Player_ARSZC,26,India,Mobile,Silver,4.03,172,19,996
P00223,Player_EWAMW,23,India,Mobile,Crown,5.52,1593,138,236
P00224,Player_CTWRK,21,India,Tablet,Bronze,4.03,850,225,264
P00225,Player_KAZQQ,18,India,Mobile,Bronze,4.08,231,417,292
P00226,Player_CCJBZ,17,India,Mobile,Gold,5.26,305,343,369
P00227,Player_JBINL,18,India,Tablet,Crown,1.54,1657,123,546
P00228,Player_CDFTX,26,India,Mobile,Silver,1.28,142,489,576
P00229,Player_DJCZQ,19,India,Mobile,Bronze,5.35,676,343,599
P00230,Player_WAJOI,25,India,Mobile,Platinum,1.96,1570,283,354
P00231,Player_DRHDO,22,India,Tablet,Diamond,5.15,858,207,564
P00232,Player_DVYGA,22,India,Tablet,Conqueror,5.13,1706,36,715
P00233,Player_BNJMM,24,India,Tablet,Platinum,4.14,1861,398,275
P00234,Player_MBTQP,25,India,Mobile,Platinum,1.76,414,81,250
P00235,Player_TWXIA,17,India,Mobile,Platinum,2.54,1352,312,938
P00236,Player_QUYVV,28,India,Tablet,Bronze,1.46,1169,403,869
P00237,Player_OXZHF,26,India,Tablet,Crown,2.79,1144,251,884
P00238,Player_IFRXT,29,India,Tablet,Silver,3.38,1131,264,639
P00239,Player_GEMWA,20,India,Mobile,Ace,5.37,1380,440,849
P00240,Player_PVZDG,19,India,Tablet,Ace,1.87,1853,346,909
P00241,Player_IOVLQ,24,India,Mobile,Ace,3.5,1634,463,923
P00242,Player_IISUE,21,India,Tablet,Platinum,5.65,834,367,365
P00243,Player_HJYZS,20,India,Mobile,Conqueror,5.88,1643,271,814
P00244,Player_NUPYB,25,India,Tablet,Bronze,5.75,614,44,484
P00245,Player_ZZHBA,22,India,Tablet,Ace,3.86,1822,142,666
P00246,Player_ZODIV,19,India,Tablet,Ace,5.02,480,379,471
P00247,Player_IPTVT,30,India,Tablet,Silver,4.49,1400,57,650
P00248,Player_OPTZD,16,India,Tablet,Conqueror,4.96,633,359,597
P00249,Player_TLUAO,16,India,Mobile,Platinum,4.8,1875,279,544
P00250,Player_PJTKK,29,India,Tablet,Crown,4.85,891,147,890
P00251,Player_YJOYC,19,India,Mobile,Conqueror,4.32,1454,344,475
P00252,Player_JFTZV,19,India,Mobile,Conqueror,4.38,516,481,738
P00253,Player_SRCIN,21,India,Tablet,Silver,1.05,612,239,513
P00254,Player_MIFNY,20,India,Tablet,Ace,2.12,1281,111,633
P00255,Player_AOGOH,25,India,Mobile,Ace,5.12,1311,31,478
P00256,Player_QXQMW,25,India,Tablet,Diamond,1.56,568,494,565
P00257,Player_SDCTQ,25,India,Mobile,Conqueror,2.06,1482,25,613
P00258,Player_PHSZZ,26,India,Mobile,Ace,5.9,145,342,318
P00259,Player_XWNXT,18,India,Tablet,Diamond,2.83,611,227,653
P00260,Player_KNCBZ,17,India,Mobile,Conqueror,5.22,1307,334,455
P00261,Player_WXPOV,17,India,Tablet,Bronze,3.46,611,42,294
P00262,Player_YJQYV,27,India,Tablet,Silver,4.47,1297,142,676
P00263,Player_HDVLM,23,India,Mobile,Platinum,4.01,311,440,244
P00264,Player_KTLOL,28,India,Mobile,Diamond,1.52,1478,476,549
P00265,Player_KOKSO,30,India,Tablet,Gold,3.18,1278,420,692
P00266,Player_IUDRY,28,India,Mobile,Ace,4.49,242,278,403
P00267,Player_RLGFJ,30,India,Tablet,Ace,3.58,232,328,465
P00268,Player_WIDJX,23,India,Mobile,Conqueror,4.58,962,384,430
P00269,Player_LBWRP,21,India,Tablet,Crown,1.35,1823,486,545
P00270,Player_MCJSR,30,India,Tablet,Ace,1.33,271,205,669
P00271,Player_LKRPM,29,India,Mobile,Diamond,1.24,523,126,741
P00272,Player_SUGXR,22,India,Mobile,Gold,2.49,1189,427,932
P00273,Player_TDRKI,25,India,Tablet,Diamond,5.35,1387,194,413
P00274,Player_HDTVD,27,India,Mobile,Crown,4.13,1734,471,805
P00275,Player_KREPK,30,India,Tablet,Ace,4.69,777,110,448
P00276,Player_HYEIC,21,India,Mobile,Conqueror,3.39,1638,310,932
P00277,Player_YAGJT,26,India,Mobile,Gold,2.44,998,192,240
P00278,Player_VSCKT,25,India,Tablet,Gold,2.28,336,472,212
P00279,Player_HGMID,21,India,Mobile,Silver,2.53,1175,443,277
P00280,Player_KXMOK,27,India,Mobile,Silver,4.51,812,88,544
P00281,Player_LWBUI,16,India,Mobile,Crown,4.33,210,96,238
P00282,Player_BYYYM,20,India,Tablet,Ace,3.78,166,60,206
P00283,Player_YMVFY,24,India,Tablet,Platinum,2.0,1150,285,537
P00284,Player_KMIJT,17,India,Tablet,Bronze,5.43,211,390,825
P00285,Player_PZZOO,22,India,Tablet,Platinum,2.82,1676,112,623
P00286,Player_WEKPD,28,India,Tablet,Platinum,1.12,1752,323,839
P00287,Player_JZKAC,27,India,Tablet,Gold,1.91,901,344,625
P00288,Player_DTHHR,30,India,Tablet,Conqueror,2.08,1118,238,889
P00289,Player_FMJKI,22,India,Tablet,Silver,5.29,1782,376,495
P00290,Player_YDKIF,17,India,Mobile,Crown,4.66,1012,90,602
P00291,Player_GQAPS,26,India,Mobile,Platinum,4.11,1414,442,482
P00292,Player_QYARS,22,India,Mobile,Bronze,4.55,1260,379,570
P00293,Player_GYHHZ,20,India,Tablet,Gold,5.49,110,208,494
P00294,Player_BUVTH,29,India,Mobile,Bronze,5.67,1191,215,252
P00295,Player_ZPJNX,24,India,Tablet,Diamond,1.02,1385,15,632
P00296,Player_PSDMF,16,India,Mobile,Ace,3.52,1903,84,785
P00297,Player_MCCBY,27,India,Tablet,Silver,3.72,1717,140,493
P00298,Player_TDZMP,28,India,Tablet,Silver,2.38,1686,214,553
P00299,Player_RAREV,25,India,Tablet,Ace,3.73,1356,228,563
P00300,Player_OMYMB,18,India,Mobile,Ace,1.84,211,106,792
P00301,Player_ARVEN,24,India,Tablet,Silver,2.74,1026,18,815
P00302,Player_ZGBMI,27,India,Mobile,Diamond,2.19,756,151,447
P00303,Player_GNSQX,22,India,Tablet,Conqueror,1.5,1822,229,472
P00304,Player_HMSZP,16,India,Mobile,Bronze,1.16,1230,362,277
P00305,Player_VRACA,22,India,Tablet,Conqueror,3.21,1227,64,417
P00306,Player_LLMEQ,16,India,Mobile,Diamond,5.46,399,147,356
P00307,Player_PLTIE,17,India,Mobile,Conqueror,3.24,1566,496,781
P00308,Player_CZAOL,16,India,Mobile,Platinum,1.41,780,248,412
P00309,Player_PTIUQ,23,India,Tablet,Bronze,5.38,1946,281,817
P00310,Player_TGJII,24,India,Tablet,Ace,4.24,1956,83,678
P00311,Player_UJGCE,19,India,Tablet,Crown,2.03,604,109,870
P00312,Player_SHRTO,24,India,Mobile,Ace,1.29,1263,466,385
P00313,Player_ABJLG,27,India,Tablet,Gold,3.69,298,52,322
P00314,Player_ZEPNH,17,India,Tablet,Crown,1.19,1768,270,791
P00315,Player_MVZQV,27,India,Tablet,Crown,3.48,1184,133,622
P00316,Player_LMYFW,21,India,Tablet,Silver,2.66,736,139,895
P00317,Player_TAITN,22,India,Mobile,Ace,2.23,1497,315,834
P00318,Player_EGSPF,19,India,Mobile,Crown,5.17,635,396,634
P00319,Player_UELOS,25,India,Tablet,Crown,4.35,1237,199,378
P00320,Player_RAKQT,16,India,Mobile,Bronze,3.02,1434,405,230
P00321,Player_ZMDOI,29,India,Mobile,Platinum,1.64,1195,264,244
P00322,Player_QQLDP,20,India,Tablet,Platinum,3.04,1583,313,900
P00323,Player_QIRMH,18,India,Tablet,Diamond,4.49,342,343,480
P00324,Player_JGSAW,20,India,Mobile,Crown,5.41,906,62,692
P00325,Player_OYIYX,28,India,Tablet,Ace,3.23,1120,58,711
P00326,Player_FGAPF,25,India,Tablet,Gold,5.88,1492,316,476
P00327,Player_VOPYD,18,India,Tablet,Crown,3.24,1265,385,934
P00328,Player_OBDRQ,17,India,Mobile,Silver,3.8,1639,237,817
P00329,Player_ZNDOD,29,India,Tablet,Crown,4.09,364,467,824
P00330,Player_CKNZL,22,India,Mobile,Gold,5.93,1865,330,713
P00331,Player_NRBAM,17,India,Tablet,Conqueror,2.87,469,362,514
P00332,Player_GDEUL,26,India,Mobile,Silver,3.12,985,373,651
P00333,Player_MDGBT,25,India,Tablet,Conqueror,5.94,1168,291,906
P00334,Player_SCBVN,18,India,Mobile,Gold,3.81,635,76,732
P00335,Player_BWNBF,19,India,Tablet,Crown,1.3,395,171,480
P00336,Player_BMVKE,29,India,Mobile,Silver,2.92,918,191,385
P00337,Player_RNPCS,17,India,Tablet,Diamond,3.77,261,374,372
P00338,Player_ZSSGC,30,India,Tablet,Ace,2.32,1641,439,768
P00339,Player_EQBIK,18,India,Tablet,Gold,2.42,410,32,593
P00340,Player_UPPQV,30,India,Tablet,Diamond,2.1,1747,71,365
P00341,Player_QJHDT,23,India,Mobile,Silver,2.1,220,12,247
P00342,Player_YOLKD,30,India,Mobile,Conqueror,4.39,764,176,775
P00343,Player_LQINH,22,India,Tablet,Gold,5.88,1885,331,782
P00344,Player_XNARG,30,India,Mobile,Bronze,2.92,202,30,318
P00345,Player_WWKOM,28,India,Tablet,Conqueror,1.36,1983,247,595
P00346,Player_JAEDN,21,India,Tablet,Conqueror,5.93,1678,164,354
P00347,Player_QJKWJ,24,India,Mobile,Gold,1.96,271,40,647
P00348,Player_AIDGB,27,India,Mobile,Crown,4.79,718,311,550
P00349,Player_AVRBN,24,India,Tablet,Diamond,5.7,1656,122,452
P00350,Player_QOXWK,27,India,Mobile,Diamond,1.4,1872,76,812
P00351,Player_LMJZD,27,India,Mobile,Platinum,5.07,557,435,676
P00352,Player_JEVVT,21,India,Tablet,Silver,2.52,826,447,439
P00353,Player_IKMNK,21,India,Tablet,Gold,5.11,645,324,220
P00354,Player_LQZMC,21,India,Tablet,Bronze,5.6,1985,71,218
P00355,Player_ZQNLN,25,India,Tablet,Ace,1.23,545,83,505
P00356,Player_ABUVX,26,India,Tablet,Platinum,2.05,1914,159,951
P00357,Player_FVHJL,30,India,Mobile,Conqueror,5.83,976,381,336
P00358,Player_PMBJZ,17,India,Mobile,Platinum,3.37,1595,459,838
P00359,Player_DAXEK,18,India,Tablet,Silver,3.24,1888,398,875
P00360,Player_TDRAK,17,India,Tablet,Ace,2.12,875,142,397
P00361,Player_BZPRN,16,India,Tablet,Gold,1.74,536,491,563
P00362,Player_SUPDW,30,India,Tablet,Gold,4.76,1385,489,328
P00363,Player_SSBZS,27,India,Tablet,Ace,3.91,133,18,845
P00364,Player_SLMSL,27,India,Tablet,Silver,3.97,442,220,938
P00365,Player_YUFIN,20,India,Mobile,Silver,5.33,1579,483,417
P00366,Player_QKKHX,20,India,Mobile,Silver,5.15,1771,182,218
P00367,Player_DICPO,21,India,Mobile,Platinum,3.03,710,469,363
P00368,Player_BNQTS,26,India,Tablet,Silver,3.99,206,398,907
P00369,Player_VJYGL,16,India,Tablet,Bronze,3.9,235,149,864
P00370,Player_CVTKC,29,India,Tablet,Gold,2.25,1157,141,922
P00371,Player_NODVO,26,India,Mobile,Ace,5.84,1407,287,421
P00372,Player_TUWUS,25,India,Mobile,Crown,2.05,1061,226,840
P00373,Player_OIING,27,India,Tablet,Gold,1.48,687,243,200
